,Unnamed: 0,Accuracy,VariablesUsed,RandomStateUsed
39,39.0,0.67,"['contains_social_media_links', 'contains_business_name_in_copyright', 'contains_business_name', 'contains_reviews_page', 'contains_zipCode', 'url_contains_email', 'IsCharity', 'url_contains_phone_number', 'IsHQ']",39
40,40.0,0.675,"['url_contains_email', 'IsBBBAccredited', 'BBBRatingScore', 'contains_social_media_links', 'url_contains_phone_number', 'contains_reviews_page', 'contains_contacts_page', 'IsCharity', 'IsHQ', 'contains_business_name', 'contains_zipCode', 'contains_business_name_in_copyright']",40
41,41.0,0.6766666666666666,"['BBBRatingScore', 'contains_reviews_page', 'contains_contacts_page', 'url_contains_email', 'url_contains_phone_number', 'contains_zipCode', 'IsBBBAccredited', 'contains_business_name']",41
42,42.0,0.655,"['contains_reviews_page', 'contains_contacts_page', 'IsBBBAccredited', 'IsHQ', 'contains_business_name_in_copyright', 'BBBRatingScore', 'url_contains_email', 'url_contains_phone_number', 'contains_zipCode']",42
43,43.0,0.725,"['contains_contacts_page', 'contains_business_name_in_copyright']",43
44,44.0,0.6733333333333333,"['contains_zipCode', 'url_contains_email', 'IsBBBAccredited', 'url_contains_phone_number', 'contains_contacts_page', 'contains_social_media_links', 'BBBRatingScore', 'contains_reviews_page', 'IsHQ', 'contains_business_name']",44
45,45.0,0.6966666666666667,"['contains_zipCode', 'BBBRatingScore', 'IsHQ', 'contains_business_name', 'contains_business_name_in_copyright']",45
46,46.0,0.695,"['IsHQ', 'IsBBBAccredited', 'contains_zipCode', 'contains_business_name_in_copyright']",46
47,47.0,0.6716666666666666,"['url_contains_email', 'contains_business_name', 'IsHQ', 'IsBBBAccredited', 'contains_zipCode']",47
48,48.0,0.6783333333333333,"['IsCharity', 'url_contains_phone_number', 'IsBBBAccredited', 'contains_zipCode', 'BBBRatingScore', 'IsHQ', 'contains_business_name_in_copyright']",48
49,49.0,0.65,"['url_contains_phone_number', 'contains_business_name', 'IsCharity', 'contains_business_name_in_copyright', 'IsBBBAccredited', 'BBBRatingScore', 'contains_zipCode', 'contains_social_media_links', 'contains_reviews_page']",49
50,,0.675,"['BBBRatingScore', 'contains_zipCode']",50
51,,0.6783333333333333,"['IsCharity', 'IsHQ', 'IsBBBAccredited', 'url_contains_email', 'BBBRatingScore', 'url_contains_phone_number', 'contains_zipCode', 'contains_contacts_page', 'contains_business_name', 'contains_social_media_links', 'contains_business_name_in_copyright', 'contains_reviews_page']",51
52,,0.6916666666666667,"['contains_reviews_page', 'IsBBBAccredited', 'IsHQ']",52
53,,0.6466666666666666,"['IsHQ', 'contains_business_name_in_copyright', 'IsBBBAccredited', 'contains_contacts_page', 'contains_business_name', 'IsCharity', 'contains_zipCode']",53
54,,0.66,"['BBBRatingScore', 'contains_social_media_links', 'url_contains_email', 'IsBBBAccredited', 'IsCharity', 'IsHQ', 'contains_contacts_page']",54
55,,0.6733333333333333,"['contains_contacts_page', 'url_contains_phone_number', 'IsBBBAccredited', 'contains_business_name', 'contains_business_name_in_copyright', 'IsHQ', 'contains_zipCode', 'IsCharity', 'contains_reviews_page', 'url_contains_email', 'BBBRatingScore', 'contains_social_media_links']",55
56,,0.65,"['contains_contacts_page', 'contains_reviews_page']",56
57,,0.67,"['IsBBBAccredited', 'contains_business_name', 'url_contains_phone_number', 'IsCharity', 'contains_reviews_page', 'contains_business_name_in_copyright', 'contains_contacts_page', 'url_contains_email', 'contains_zipCode']",57
58,,0.6783333333333333,"['IsBBBAccredited', 'contains_reviews_page']",58
59,,0.6666666666666666,"['url_contains_email', 'url_contains_phone_number', 'contains_reviews_page', 'contains_business_name_in_copyright']",59
60,,0.7033333333333334,"['contains_reviews_page', 'contains_social_media_links', 'contains_business_name_in_copyright', 'IsBBBAccredited', 'contains_zipCode']",60
61,,0.6866666666666666,"['contains_business_name', 'BBBRatingScore', 'IsCharity', 'IsBBBAccredited', 'url_contains_phone_number', 'contains_zipCode', 'url_contains_email', 'contains_business_name_in_copyright', 'contains_contacts_page', 'contains_reviews_page']",61
62,,0.6616666666666666,"['IsBBBAccredited', 'contains_business_name', 'contains_reviews_page', 'contains_social_media_links', 'contains_business_name_in_copyright', 'BBBRatingScore', 'IsHQ', 'contains_zipCode', 'contains_contacts_page', 'url_contains_phone_number']",62
63,,0.68,"['contains_business_name_in_copyright', 'contains_reviews_page', 'contains_business_name', 'IsHQ', 'url_contains_phone_number', 'BBBRatingScore', 'contains_social_media_links', 'contains_zipCode', 'contains_contacts_page']",63
64,,0.6566666666666666,"['contains_reviews_page', 'contains_contacts_page', 'url_contains_phone_number', 'url_contains_email', 'IsBBBAccredited']",64
65,,0.6816666666666666,"['url_contains_phone_number', 'IsBBBAccredited', 'BBBRatingScore', 'contains_business_name', 'contains_zipCode', 'IsCharity']",65
66,,0.66,"['contains_zipCode', 'IsBBBAccredited', 'url_contains_phone_number', 'contains_business_name', 'contains_social_media_links', 'contains_contacts_page', 'contains_business_name_in_copyright', 'IsCharity']",66
67,,0.6783333333333333,"['IsCharity', 'url_contains_email', 'contains_business_name', 'contains_reviews_page', 'contains_zipCode', 'BBBRatingScore']",67
68,,0.6983333333333334,"['url_contains_email', 'IsBBBAccredited', 'url_contains_phone_number', 'BBBRatingScore', 'IsCharity', 'contains_social_media_links', 'contains_reviews_page', 'IsHQ', 'contains_contacts_page', 'contains_zipCode', 'contains_business_name_in_copyright']",68
69,,0.645,"['contains_social_media_links', 'BBBRatingScore', 'IsCharity', 'IsBBBAccredited']",69
70,,0.705,"['IsCharity', 'contains_business_name_in_copyright', 'contains_business_name', 'contains_contacts_page', 'IsHQ', 'contains_zipCode', 'BBBRatingScore']",70
71,,0.6916666666666667,"['BBBRatingScore', 'IsHQ', 'IsCharity', 'contains_contacts_page', 'url_contains_phone_number', 'contains_business_name_in_copyright', 'contains_zipCode']",71
72,,0.67,"['IsBBBAccredited', 'IsCharity', 'contains_contacts_page', 'contains_business_name', 'BBBRatingScore', 'contains_business_name_in_copyright', 'url_contains_email', 'contains_social_media_links', 'contains_zipCode', 'IsHQ', 'url_contains_phone_number']",72
73,,0.6766666666666666,"['BBBRatingScore', 'url_contains_phone_number', 'IsCharity', 'contains_contacts_page', 'IsBBBAccredited', 'contains_business_name', 'contains_zipCode']",73
74,,0.7016666666666667,"['contains_business_name_in_copyright', 'contains_business_name', 'contains_social_media_links', 'IsHQ', 'IsBBBAccredited', 'contains_contacts_page', 'IsCharity']",74
75,,0.6816666666666666,"['contains_contacts_page', 'url_contains_phone_number', 'contains_reviews_page', 'contains_business_name_in_copyright', 'IsBBBAccredited', 'url_contains_email', 'IsHQ', 'contains_business_name', 'contains_social_media_links', 'IsCharity', 'BBBRatingScore', 'contains_zipCode']",75
76,,0.6683333333333333,"['contains_contacts_page', 'url_contains_phone_number', 'url_contains_email', 'contains_reviews_page', 'IsBBBAccredited', 'contains_zipCode', 'IsHQ', 'IsCharity', 'contains_business_name', 'BBBRatingScore']",76
77,,0.6633333333333333,"['contains_social_media_links', 'BBBRatingScore', 'contains_reviews_page', 'IsBBBAccredited', 'contains_business_name', 'IsCharity', 'contains_business_name_in_copyright', 'contains_contacts_page']",77
78,,0.6616666666666666,"['BBBRatingScore', 'IsHQ', 'contains_reviews_page', 'contains_contacts_page']",78
79,,0.6883333333333334,"['BBBRatingScore', 'contains_reviews_page', 'contains_social_media_links', 'url_contains_email']",79
