,Variables,Random_State,R_2_Train,R_2_Test,Mean_Squared_Error,Mean_Absolute_Error
0,contains_contacts_page,0,0.01456929853271094,0.010119403915334724,0.21375310525148308,0.4258654439622488
1,contains_contacts_page,1,0.0134524407987473,0.014729391841294515,0.21374214742689052,0.42846534068535025
2,contains_contacts_page,2,0.01793629271745245,-0.0033928844826491833,0.21379074252171906,0.4263011437528169
3,contains_contacts_page,3,0.014134100620012746,0.010794100583335853,0.21376283254030565,0.42553910166733605
4,contains_contacts_page,4,0.014705432542554853,0.008370920007690796,0.21375359247386055,0.4287094101083664
5,contains_contacts_page,5,0.015554991896027048,-0.004638575315781379,0.2138454883812527,0.43066694713670145
6,contains_contacts_page,6,0.012098961641996864,0.019477702920765227,0.21376090964797548,0.42917204414366034
7,contains_contacts_page,7,0.015702719604539284,0.006501343644969015,0.2137470757884165,0.4269232495432752
8,contains_contacts_page,8,0.012569828116675619,0.018114371595249423,0.2137524047542106,0.42893091346526974
9,contains_contacts_page,9,0.017283979070804034,-0.000655064889048429,0.21377817453879994,0.4273186999799508
10,contains_contacts_page,10,0.018070110999702016,-0.005104788683773842,0.21381008584547145,0.42504157519113156
11,contains_contacts_page,11,0.01303927743525668,0.016093998094587225,0.21375266153029213,0.4263363637430696
12,contains_contacts_page,12,0.008699029189009,0.02963427278123343,0.21388179378416608,0.42750963231910427
13,contains_contacts_page,13,0.013000670341299148,0.012015967997471066,0.21378546612161128,0.4301602589127134
14,contains_contacts_page,14,0.014978326085170579,0.00918115763066063,0.21374631821944837,0.4262750358331994
15,contains_contacts_page,15,0.014825482464007833,0.010203973536771493,0.2137386334173592,0.42708458031881424
16,contains_contacts_page,16,0.011753880927257931,0.021626658612572958,0.21375783112180805,0.4286216201320999
17,contains_contacts_page,17,0.011362705806803652,0.022939254755492744,0.213767308130253,0.4274110706525541
18,contains_contacts_page,18,0.012562287484898516,0.018824868039335585,0.2137462638987388,0.42848240604405025
19,contains_contacts_page,19,0.014773376770027769,0.007225423503062878,0.21376503955155332,0.4291238475708147
20,contains_contacts_page,20,0.01195553418542561,0.017827848338181296,0.21378903369238592,0.43018004575395075
21,contains_contacts_page,21,0.01588498813139627,0.0046316071855980745,0.21375414849932933,0.426220298947101
22,contains_contacts_page,22,0.015528934652811799,0.007246094596605079,0.21374507425233902,0.42691777924963903
23,contains_contacts_page,23,0.013841932765176979,-0.0004978690689509957,0.21386360255273357,0.42342253275981
24,contains_contacts_page,24,0.012675530107302935,0.01791752041802508,0.21374931600418517,0.42678733023579357
25,contains_contacts_page,25,0.016921857464031187,-0.0026248056372379924,0.21381289861563613,0.424319538354575
26,contains_contacts_page,26,0.015808552642034512,-0.002484803655881329,0.21380848702289623,0.42979534410902354
27,contains_contacts_page,27,0.011062758277900264,0.007257570382042777,0.21391626349773488,0.4238733877414479
28,contains_contacts_page,28,0.017051752938905596,0.00025257325914906925,0.21377135794840593,0.4271769023900947
29,contains_contacts_page,29,0.012166263898505503,0.011993865593806885,0.21382254076543772,0.42481611968912436
30,contains_contacts_page,30,0.013634672634920242,0.008933080458670806,0.21378995126760722,0.4248942773774155
31,contains_contacts_page,31,0.010169107332382965,0.02746478046643963,0.21379900760975523,0.42833041727692966
32,contains_contacts_page,32,0.014190831474886867,0.012783340576602464,0.21373574367509632,0.42727319034235733
33,contains_contacts_page,33,0.014009700202007536,0.007577814868756971,0.21379137749595814,0.430135874380695
34,contains_contacts_page,34,0.01836642979054548,-0.010200611071825794,0.21383350615927627,0.42843380269236964
35,contains_contacts_page,35,0.012644112506918992,0.006531618891112978,0.21385006584589195,0.42405753507359417
36,contains_contacts_page,36,0.014804855066781641,0.005440451977634098,0.21377449844115393,0.4294134858270855
37,contains_contacts_page,37,0.013160532920551082,0.01545026925753512,0.2137457303699308,0.428685376890272
38,contains_contacts_page,38,0.010538592422640991,0.026209463196299243,0.21378715775669005,0.4287379793597247
39,contains_contacts_page,39,0.017419522212734906,-0.008993242721469175,0.21384343148046908,0.4237275447759722
40,contains_contacts_page,40,0.01879671242096015,-0.014925229394151307,0.21387906728240735,0.42920327963424965
41,contains_contacts_page,41,0.018561434283092648,-0.006359819886682105,0.21380921074655984,0.425903042855661
42,contains_contacts_page,42,0.013429794077391533,0.01554753847312218,0.21374239360869055,0.4267021601004872
43,contains_contacts_page,43,0.014292772444946422,-0.019658819833376473,0.21397624240972185,0.4329507356727489
44,contains_contacts_page,44,0.0140114183002098,0.013496113731442216,0.21373578416651798,0.4272123730403029
45,contains_contacts_page,45,0.011176123014296602,0.022169897819629525,0.2137901488488138,0.4298857151486165
46,contains_contacts_page,46,0.008025595388489126,0.03319789424268904,0.21391472949346357,0.4282956100007676
47,contains_contacts_page,47,0.01593564306959039,0.005512063850221183,0.21375013164442758,0.4269667651703901
48,contains_contacts_page,48,0.00977726220071573,0.027952306299201646,0.21382128054722802,0.42761754736979113
49,contains_contacts_page,49,0.012672033297414953,0.01701173526667299,0.21375788117023545,0.4263382491170297
0,contains_business_name,0,0.0050783804032557,-0.008847288171168755,0.21622914460215012,0.43075161582211313
1,contains_business_name,1,0.004201309245148388,-0.004938181096568739,0.21618880099457832,0.43300072381187527
2,contains_business_name,2,0.002742411964713032,0.002813840385615718,0.21614830534781834,0.4319639067090112
3,contains_business_name,3,0.0038833345382683904,-0.003911719838816774,0.21618252660775414,0.4305746163189893
4,contains_business_name,4,0.004076067018332408,-0.005544300264867852,0.21619477126328077,0.4336789149786642
5,contains_business_name,5,0.0025681800358802187,-0.007116553979460205,0.2162318664657224,0.4356732656736151
6,contains_business_name,6,0.0026745463933681712,0.001561990126874302,0.21616162729619084,0.4336871962248654
7,contains_business_name,7,0.002121211970176007,0.005225487127178519,0.21615731221070453,0.43248610669567117
8,contains_business_name,8,0.004895464809049677,-0.008598331600294662,0.21622306257637816,0.433235485004114
9,contains_business_name,9,0.0027263881770955845,0.0029902101560576044,0.21614759368389427,0.43248862710096214
10,contains_business_name,10,0.0024786021647643652,0.0024193140246571154,0.21616212637238247,0.43108462733405295
11,contains_business_name,11,0.002895135366310253,0.0013093254661157294,0.21615634196715766,0.4311880514728463
12,contains_business_name,12,0.003998055575397674,-0.003914458493387674,0.21618163525457473,0.4307821967447162
13,contains_business_name,13,0.0027882639004935816,-0.0029195876757361905,0.21619166476509427,0.4347104864034156
14,contains_business_name,14,0.0025820747304887703,0.003175672681053454,0.2161525244781567,0.4315640785319396
15,contains_business_name,15,0.0020403520850391654,0.005486561320962813,0.21616001231879084,0.4324952580041019
16,contains_business_name,16,0.002594806367570812,0.0027490353491037567,0.216156947519228,0.4334187893744872
17,contains_business_name,17,0.002030198931218141,0.005066681383312566,0.21616490187918977,0.43156638897555677
18,contains_business_name,18,0.0023137168178140044,0.004188782622409848,0.21615530038145941,0.43307707066481077
19,contains_business_name,19,0.0020872102585974828,0.002245067236545384,0.21619124366258344,0.4345296376311884
20,contains_business_name,20,0.003142129616920175,-0.0026479187069456955,0.2161835607723451,0.43433555490503084
21,contains_business_name,21,0.0018646984055920024,0.004371538324224877,0.21618119302951921,0.4312157103232286
22,contains_business_name,22,0.0014769771073852578,0.00695817179530811,0.21619153018933793,0.4323008723988834
23,contains_business_name,23,0.0027274793087119775,-0.012137022121920582,0.21629078253829237,0.4279530288777381
24,contains_business_name,24,0.0018910185748436392,0.005183073376315073,0.21617255109540082,0.4316129074656271
25,contains_business_name,25,0.0021871554849461905,0.0005252611898729498,0.21619848513762838,0.43002836675042944
26,contains_business_name,26,0.004102864649490279,-0.011680975092642765,0.21624026498408425,0.43490007981427015
27,contains_business_name,27,0.003164510548704813,-0.015381746878756708,0.21630895065454264,0.427617437492028
28,contains_business_name,28,0.0027069292121688626,0.0029281107843148746,0.2161488178381032,0.43274538426186093
29,contains_business_name,29,0.002267415842076348,-0.003494101682640416,0.21622039087365158,0.4294876375916896
30,contains_business_name,30,0.0022511337953514676,-0.0013566229697135057,0.2162051879193911,0.4298470764277761
31,contains_business_name,31,0.0013542058493010156,0.00723075057231759,0.216202675886973,0.4328773911239945
32,contains_business_name,32,0.00199502738038404,0.005578418792596906,0.21616187633899941,0.4322154012137732
33,contains_business_name,33,0.0029788294144214023,-0.003985032572104696,0.2162021442183154,0.43493914997141286
34,contains_business_name,34,0.0017000558426354395,0.00286868724044842,0.21620635641823532,0.43459332000600165
35,contains_business_name,35,0.003314615492485906,-0.011549133625872843,0.21627152570739264,0.42819958276579523
36,contains_business_name,36,0.0018125657676446583,0.001743796581437862,0.21620361486264417,0.4346967974629564
37,contains_business_name,37,0.003937172957139468,-0.004205248178796417,0.2161848233354237,0.43352088389830307
38,contains_business_name,38,0.0034883590439760415,-0.00043466549511039787,0.21615760723453598,0.43250862692184844
39,contains_business_name,39,0.0026248746638709575,-0.006067512844531331,0.2162331253085313,0.42898246774265664
40,contains_business_name,40,0.005695870516096768,-0.01815458075433396,0.21630947852929888,0.43419998374267416
41,contains_business_name,41,0.002534808954029133,0.003389811193573955,0.21615129392761476,0.4318023943131559
42,contains_business_name,42,0.00353629443149428,-0.0005977362152973509,0.2161600998670248,0.4315609040870379
43,contains_business_name,43,0.0025236099931001954,-0.027907298481130605,0.21638183401402342,0.43791005851793197
44,contains_business_name,44,0.0010305462879007798,0.0076129215900746505,0.21624034686115937,0.4325329206040744
45,contains_business_name,45,0.004646803467883598,-0.008489350474633506,0.21621884459877538,0.43345145851278666
46,contains_business_name,46,0.0026531114301988623,0.003273865944006915,0.21614823486346194,0.43202618445623986
47,contains_business_name,47,0.004015516076400494,-0.00263616603241168,0.21616958798093341,0.43203495823599075
48,contains_business_name,48,0.0024911280244613865,0.0035378973153379345,0.21615234326598623,0.4317291189705419
49,contains_business_name,49,0.0014362072040777774,0.00538326471626438,0.21621008417572887,0.43127630118271226
0,contains_business_name_in_copyright,0,0.0,-0.0010765956703226998,0.2167612284502515,0.43237753961408465
1,contains_business_name_in_copyright,1,0.0,-0.0011814928883291387,0.21676172541318198,0.43465822967769063
2,contains_business_name_in_copyright,2,0.0,-0.00016764492619958382,0.21675316415060328,0.43306174663316643
3,contains_business_name_in_copyright,3,0.0,-0.002109691869868646,0.21677051578741088,0.43192140160136344
4,contains_business_name_in_copyright,4,0.0,-0.002320775807253872,0.2167712115355136,0.4351143676904118
5,contains_business_name_in_copyright,5,0.0,-0.010994405875353275,0.21684044512399162,0.43693891974129667
6,contains_business_name_in_copyright,6,0.0,-0.001702120888308345,0.2167660773606084,0.43488629868405126
7,contains_business_name_in_copyright,7,0.0,-1.8194668438553663e-07,0.2167516990882318,0.4335178846458876
8,contains_business_name_in_copyright,8,0.0,-0.0011814928883291387,0.21676172541318198,0.43465822967769063
9,contains_business_name_in_copyright,9,0.0,-5.1204541883009824e-05,0.2167521398982643,0.4337459536522483
10,contains_business_name_in_copyright,10,0.0,-0.0015510366316839885,0.2167654810050918,0.4321494706077242
11,contains_business_name_in_copyright,11,0.0,-0.0010765956703226998,0.2167612284502515,0.43237753961408465
12,contains_business_name_in_copyright,12,0.0,-0.0015510366316839885,0.2167654810050918,0.4321494706077242
13,contains_business_name_in_copyright,13,0.0,-0.005806840614975162,0.2167995705099222,0.4360266437158542
14,contains_business_name_in_copyright,14,0.0,-0.00038394777797656765,0.21675507002300723,0.4328336776268059
15,contains_business_name_in_copyright,15,0.0,-1.8194668460758123e-07,0.2167516990882318,0.4335178846458876
16,contains_business_name_in_copyright,16,0.0,-0.0007574449919347526,0.21675815569323442,0.43443016067133
17,contains_business_name_in_copyright,17,0.0,-0.00038394777797656765,0.21675507002300723,0.4328336776268059
18,contains_business_name_in_copyright,18,0.0,-0.0004285906272591955,0.21675536820076552,0.4342020916649694
19,contains_business_name_in_copyright,19,0.0,-0.003038966983657021,0.2167771279378975,0.4353424366967725
20,contains_business_name_in_copyright,20,0.0,-0.003858268680033028,0.2167838265677603,0.435570505703133
21,contains_business_name_in_copyright,21,0.0,-0.0015510366316839885,0.2167654810050918,0.4321494706077242
22,contains_business_name_in_copyright,22,0.0,-3.936732337184168e-05,0.21675204050567817,0.4332898156395271
